Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Residents,Administered_Fed_LTC_Staff,Administered_Fed_LTC_Unk,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown
06/08/2021,23,CT,4620265,249900,1873780,2496585,0,129590,148755,162809,733091,4140584,4139044,3949794,1136032,161429,1629245,2349506,404,132882,63725,51649,17508,78843,36520,29210,13113,116136,133262,139183,180253,4137485,2296853,64.4,2295679,73.9,2172390,76.6,591372,93.8,1977831,55.5,1977427,63.7,1915168,67.5,547789,86.9,161257,756342,1060123,109,161189,756143,1059986,109,161122,756000,997949,97,16571,216348,314843,27,53430,26795,22170,4465
06/08/2021,23,RI,1487925,61600,602060,824265,0,140455,160425,174054,795486,1193937,1193864,1146427,337982,44759,481614,667524,40,51810,26616,16437,8757,31423,14810,9549,7064,112704,128720,134106,180695,1183700,658185,62.1,658104,71,626938,73.3,176474,94.3,567659,53.6,567647,61.2,552122,64.6,165358,88.4,44688,222772,300189,10,44687,222768,300182,10,44671,222732,284709,10,5575,75946,83833,4,20167,11704,6778,1685
06/08/2021,23,SC,5157595,313300,2210820,2633475,0,100172,116688,127741,550424,3877911,3873726,3791341,1448549,133414,1586052,2157384,1061,106594,55872,33455,17267,66576,33138,20250,13188,75318,87641,93902,154591,3860794,2146016,41.7,2142798,48.5,2087069,51.7,777482,83,1804772,35.1,1803807,40.8,1776560,44,688391,73.5,130475,697662,976421,214,130441,697587,975565,214,130088,696406,949852,214,22782,291578,373883,148,39433,22221,12953,4259
06/08/2021,23,DD2,4358990,186200,1816800,2355990,0,0,0,0,0,3764576,3762016,3685888,315507,126765,1604005,2033407,399,0,0,0,0,0,0,0,0,0,0,0,0,3764576,2220281,0,2217817,0,2157191,0,177337,0,1576870,0,1576760,0,1561677,0,129042,0,123847,635148,817875,0,123832,635125,817803,0,123810,635073,802794,0,5168,46329,77545,0,0,0,0,0
06/08/2021,23,NH,1765695,116700,715920,933075,0,129858,147317,159870,695528,1451012,1450430,1392211,418687,54221,624188,772582,21,47779,22132,19449,6198,28153,12226,10963,4964,106715,121013,126054,164926,1486036,826476,60.8,826064,68.9,788229,71.4,233701,92.1,710914,52.3,710746,59.3,692772,62.7,212353,83.6,55495,301929,353466,24,55487,301831,353404,24,55463,301704,335581,24,12746,92479,107114,14,19456,9811,8395,1250
06/08/2021,23,KY,4372015,266300,1897340,2208375,0,97859,114867,126184,582497,3724124,3723112,3627864,1155207,149275,1653179,1921221,449,95151,43903,27943,23305,64133,27333,17885,18915,83357,97818,104706,153912,3746823,2111098,47.3,2110798,55.5,2041385,58.9,633989,84.5,1760081,39.4,1760047,46.2,1733536,50,566113,75.4,146132,748743,864766,440,146115,748736,864756,440,146059,748626,838413,438,31618,258967,275261,267,30785,16394,9962,4429
06/08/2021,23,UT,3160120,172400,1349720,1638000,0,98570,121906,138920,863723,2646501,2646075,2528795,596577,112487,1119666,1414348,0,55334,20618,18999,15717,34842,12726,11745,10371,82549,102076,111167,163056,2628041,1475811,46,1475475,56.9,1396673,61.4,316570,86.5,1078225,33.6,1078135,41.6,1040918,45.8,219800,60.1,108632,430630,538962,1,108605,430613,538916,1,108380,430450,502087,1,12599,96786,110415,0,20242,7745,7194,5303
06/08/2021,23,AL,4646130,281100,2098740,2266290,0,94757,110969,121790,546708,3036833,3036533,3008070,1152268,100237,1466737,1469859,0,88462,47068,31721,9673,55435,28455,20464,6516,61936,72525,78851,135587,3125869,1774535,36.2,1774233,42.4,1753890,46,646937,76.1,1443230,29.4,1443208,34.5,1434282,37.6,556200,65.4,102490,658849,681797,94,102486,658841,681787,94,102444,658666,673078,94,28765,295646,231731,58,33378,18865,11354,3159
06/08/2021,23,MN,6412880,344900,2564220,3503760,0,113711,134214,147882,696763,5532229,5522851,5300380,1552830,243254,2224734,3063890,351,176325,73368,70338,32619,113095,44907,43467,24721,98096,115587,122228,168716,5567044,3112516,55.2,3104547,65,2954173,68.1,832999,90.5,2674482,47.4,2673162,55.9,2601366,60,775416,84.2,245002,1032275,1397094,111,244984,1032264,1395803,111,244663,1030748,1325848,107,43053,327889,404444,30,62693,28170,26655,7868
06/08/2021,23,LTC,60328095,2475000,17987100,39865995,0,0,0,0,0,7856199,0,0,0,15022,1991996,5841964,7217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
